name,date,store,prices,image_url
MS Smjörvi 400 gr,2023-05-31,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-01,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-02,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-03,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-04,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-05,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-06,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-07,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-08,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-09,Bonus,679,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-10,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-11,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-12,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-13,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-14,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-15,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-16,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-17,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-18,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-19,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-20,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-21,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-22,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-23,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-24,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-25,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-26,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-27,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-28,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-29,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-06-30,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-01,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-02,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-03,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-04,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-05,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-06,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-07,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-10,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-12,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-13,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-14,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-15,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-16,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-17,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-18,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-19,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-20,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-21,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-22,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-23,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-24,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-25,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
